PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
172970;"Escuela infantil municipal El Bosque";"";"";"Horario ampliado. Comedor.";"METRO: Palos de la Frontera BUS: 6 , 8 , 19 , 27 , 45 , 47 , 55 , 59 , 85 , 86 , 102 , 247 CERCANÍAS RENFE: Atocha";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c40ce0e1f181c010VgnVCM1000000b205a0aRCRD";"DELICIAS";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28045";"PALOS DE MOGUER";"ARGANZUELA";"441090";"4473078";"40.4043520221113";"-3.695544214066272";"915 271 590";"";"eielbosque@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633412;"Escuela infantil municipal El Caserío";"";"";"Educación de 0 a 3 años";"BUS: 310, 136, 10, 103";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b381ec1fe3b7210VgnVCM2000000c205a0aRCRD";"MARIA TERESA ROBLEDO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28018";"PALOMERAS BAJAS";"PUENTE DE VALLECAS";"444170";"4470964";"40.3873926648154";"-3.6577856265450226";"913 808 654";"";"eielcaserio@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
100359;"Escuela infantil municipal El Duende";"";"";"Horario ampliado. Comedor.";"METRO: Tribunal BUS: 3 , 21 , 40 , 147 , 149";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db458899fc81c010VgnVCM1000000b205a0aRCRD";"DOS DE MAYO";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28004";"UNIVERSIDAD";"CENTRO";"440234";"4475367";"40.42679288775549";"-3.7045815049836723";"915 235 187";"";"eielduende@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
58242;"Escuela infantil municipal El Lirón";"";"";"Horario ampliado. Comedor. Planes de mejora.";"METRO: Artilleros BUS: 8 , 20 , 30 , 71 , 100";"ENSEÑANZA: Educación Infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=713e8ed67151c010VgnVCM2000000c205a0aRCRD";"PICO DE LOS ARTILLEROS";"CALLE";"V";"123";"";"";"";"";"MADRID";"MADRID";"28030";"FONTARRON";"MORATALAZ";"445474";"4472525";"40.40154142411511";"-3.642568350981219";"913 712 712";"";"eielliron@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
4552951;"Escuela infantil municipal El Manantial";"";"";"Educación de 0 a 3 años";"METRO: Laguna BUS: 31 , 119 , 138 RENFE: Laguna";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c1011d02d25d1110VgnVCM1000000b205a0aRCRD";"CARLOS FUENTES";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28047";"LOS CARMENES";"LATINA";"436850";"4472730";"40.40278783515925";"-3.7441981544259706";"914 640 597";"";"eielmanantial@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5981488;"Escuela infantil municipal El Olivar";"";"";"Horario ampliado Comedor";"METRO: Lavapiés, Antón Martín  BUS: M1, 6, 26, 32";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b524df71cea7e210VgnVCM1000000b205a0aRCRD";"OLIVAR";"CALLE";"V";"48";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440476";"4473453";"40.40955901220526";"-3.7015495991222993";"915 306 631";"";"eielolivar@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5072;"Escuela infantil municipal El Rocío";"";"";"Horario ampliado. Comedor.";"Bus: 131, 22, 86, 130  Renfe: Puente Alcocer";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fad13db5b71c010VgnVCM1000000b205a0aRCRD";"CARABANCHEL A VILLAVERDE";"CARRETERA";"V";"107";"";"";"";"";"MADRID";"MADRID";"28041";"SAN ANDRES";"VILLAVERDE";"439987";"4466953";"40.3509775884553";"-3.7066886127927585";"911 344 949";"";"eielrocio@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5039;"Escuela infantil municipal El Sol";"";"";"Horario ampliado. Comedor.";"BUS: 7 , 11 , 40 , 52";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afaea4ea6871c010VgnVCM1000000b205a0aRCRD";"ENRIQUE JARDIEL PONCELA";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28016";"NUEVA ESPAÑA";"CHAMARTIN";"443168";"4479132";"40.46091554103502";"-3.670320512563348";"913 532 642 / 913 532 644 / 913 532 646";"";"eielsol@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
8226010;"Escuela infantil municipal Escuelas de San Antón";"";"";"Horario ampliado Comedor.";"Bus: 3, 37, 40, 149  Metro: Chueca, Tribunal";"ENSEÑANZA: Educación Infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae3e5438c4e10510VgnVCM1000000b205a0aRCRD";"FARMACIA";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440722";"4475029";"40.42378301276458";"-3.6987856754744657";"915 325 557";"";"eiesananton@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633199;"Escuela infantil municipal Fernando el Católico";"";"";"Horario ampliado - Comedor";"METRO: Quevedo BUS: 16, 61, 2, 202";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f87b0dde9b3b7210VgnVCM2000000c205a0aRCRD";"FERNANDO EL CATOLICO";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28015";"ARAPILES";"CHAMBERI";"439802";"4476182";"40.434103689530446";"-3.7097392943348284";"914 456 792";"";"eifernandoelcatolico@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633259;"Escuela infantil municipal Gigantes y Cabezudos";"";"";"Horario ampliado - Comedor";"METRO: Avenida de La Paz BUS: 53, 9, 72, 73, 120";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=401e0dde9b3b7210VgnVCM2000000c205a0aRCRD";"RAFAEL BERGAMIN";"CALLE";"V";"28";"";"";"";"";"MADRID";"MADRID";"28043";"SAN JUAN BAUTISTA";"CIUDAD LINEAL";"444040";"4477978";"40.450578924722464";"-3.6599344009125048";"696 909 505";"";"eigigantesycabezudos@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
58239;"Escuela infantil municipal Hiedra";"";"";"Comedor.";"METRO: Simancas BUS: 38 , 48";"ENSEÑANZA: Educación Infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c75e8ed67151c010VgnVCM2000000c205a0aRCRD";"AMPOSTA";"CALLE";"S/N";"34";"";"";"";"";"MADRID";"MADRID";"28037";"ARCOS";"SAN BLAS-CANILLEJAS";"447469";"4474881";"40.42289407876372";"-3.6192425284922436";"913 062 533";"";"eihiedra@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633447;"Escuela infantil municipal La Alegría de la Huerta";"";"";"Horario ampliado - Comedor Educación de 0 a 3 años";"BUS: 38, 140, 153";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1dbc1ec1fe3b7210VgnVCM2000000c205a0aRCRD";"HELSINKI";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28022";"ROSAS";"SAN BLAS-CANILLEJAS";"448879";"4475042";"40.4244413057318";"-3.602635166157978";"913 241 772";"";"eialegriadelahuerta@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
4552960;"Escuela infantil municipal La Brisa";"";"";"";"METRO: Ventilla BUS: 42 , 147";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d02ac6aa845d1110VgnVCM1000000b205a0aRCRD";"ASTURIAS";"AVENIDA";"V";"72";"";"";"";"";"MADRID";"MADRID";"28029";"ALMENARA";"TETUAN";"440802";"4480530";"40.47333501609979";"-3.698367154592483";"913 449 875";"913 449 875";"eilabrisa@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
11184076;"Escuela infantil municipal La Bruja Avería - Lolo Rico";"";"";"Horario ampliado. Comedor.";"METRO: La Latina, Puerta de Toledo, Embajadores, Lavapiés BUS: 17, 18, 23, 35, 41, 60, 148, C1, M1";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9b3c5fe2a572710VgnVCM1000001d4a900aRCRD";"RODAS";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"440063";"4473293";"40.40809923624453";"-3.706383215058181";"914 267 061";"";"eirodas@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5336;"Escuela infantil municipal La Caracola";"";"";"Horario ampliado. Comedor.";"METRO: Begoña BUS: 66 , 124";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5dd13db5b71c010VgnVCM1000000b205a0aRCRD";"BELORADO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"441962";"4482156";"40.48807363495185";"-3.6848207707128635";"913 341 938";"";"eilacaracola@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5632722;"Escuela infantil municipal La Chulapona";"";"";"Educación de 0 a 3 años";"METRO: Alameda de Osuna  BUS: 151, 105, 112, 115";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=457c9b6d163b7210VgnVCM2000000c205a0aRCRD";"BAHIA DE PALMA";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28042";"CORRALEJOS";"BARAJAS";"449848";"4479205";"40.4620032082231";"-3.5915414506484753";"913 122 028";"";"eilachulapona@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
28783;"Escuela infantil municipal La Colina";"";"";"Horario ampliado. Comedor.";"BUS: 105 , 115";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5171059cb751c010VgnVCM2000000c205a0aRCRD";"NUESTRA SEÑORA DE ARACELI";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28042";"CASCO H.BARAJAS";"BARAJAS";"450935";"4480262";"40.47159015347659";"-3.578814477331226";"913 010 167";"";"eilacolina@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
84666;"Escuela infantil municipal La Cornisa";"";"";"Horario ampliado. Comedor. Planes de mejora.";"BUS: 6 , 78 , 79 RENFE: Doce de Octubre";"ENSEÑANZA: Educación Infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a56def5ab41c010VgnVCM2000000c205a0aRCRD";"CRISTO DE LA VICTORIA";"CALLE";"V";"23";"";"";"";"";"MADRID";"MADRID";"28026";"ALMENDRALES";"USERA";"440431";"4470302";"40.3811789921249";"-3.7017852385259076";"917 920 520";"";"eilacornisa@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633276;"Escuela infantil municipal La Corte de Faraón";"";"";"Educación de 0 a 3 años";"METRO: Peñagrande BUS: 42, 46, 126, 128, 132, 137, 774";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8210dde9b3b7210VgnVCM2000000c205a0aRCRD";"CHANTADA";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28035";"PEÑA GRANDE";"FUENCARRAL-EL PARDO";"439368";"4480509";"40.47304239359628";"-3.715280725332747";"910 596 706";"";"eilacortedefaraon@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633332;"Escuela infantil municipal La Gran Vía";"";"";"Horario ampliado - Comedor";"METRO: Canillas  BUS: 112, 120, 122, 153, 73";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=60e944dd9d3b7210VgnVCM2000000c205a0aRCRD";"SILVANO";"CALLE";"V";"99";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"446212";"4479319";"40.462802758823514";"-3.634435221406373";"913 880 412";"";"eilagranvia@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5073;"Escuela infantil municipal La Luna";"";"";"Horario ampliado. Comedor.";"BUS: 59";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0cfd13db5b71c010VgnVCM1000000b205a0aRCRD";"BENIMAMET";"CALLE";"V";"109";"";"";"";"";"MADRID";"MADRID";"28021";"SAN CRISTOBAL";"VILLAVERDE";"441798";"4466203";"40.344340447262475";"-3.685296004324213";"915 051 417";"";"eilaluna@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
10957922;"Escuela infantil municipal La Melonera";"";"";"Horario ampliado. Comedor.";"METRO: Mendez Álvaro. Arganzuela-Planetario BUS: 148. 156.";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a86936d08b9ea610VgnVCM2000001f4a900aRCRD";"EROS";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28045";"LEGAZPI";"ARGANZUELA";"442243";"4471700";"40.39390298324836";"-3.680551491708351";"910 707 655   /   640 650 071";"";"eilamelonera@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5299025;"Escuela infantil municipal La Oliva";"";"";"";"BUS: 6, 60, 131";"ENSEÑANZA: Educación infantil (Primer Ciclo).";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c73d901ede90210VgnVCM1000000b205a0aRCRD";"GAINZA";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28041";"ORCASITAS";"USERA";"439279";"4468586";"40.36563722434557";"-3.7151923280205694";"915 357 863";"";"eilaoliva@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5341;"Escuela infantil municipal La Paloma";"";"";"Horario ampliado. Comedor.";"METRO: La Latina BUS: 17 , 18 , 23 , 35 , 60";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=522e13db5b71c010VgnVCM1000000b205a0aRCRD";"TABERNILLAS";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439642";"4473629";"40.4110845196558";"-3.711383150975494";"913 642 491";"";"eilapaloma@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633158;"Escuela infantil municipal La Patria Chica";"";"";"Educación de 0 a 3 años";"METRO: La Peseta BUS: 35 , 155";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=78e7a529393b7210VgnVCM2000000c205a0aRCRD";"PATRIMONIO DE LA HUMANIDAD";"CALLE";"V";"31";"";"";"";"";"MADRID";"MADRID";"28054";"BUENAVISTA";"CARABANCHEL";"435221";"4468182";"40.36168337750411";"-3.7629430009334297";"915 116  786";"";"eilapatriachica@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5633600;"Escuela infantil municipal La Revoltosa";"";"";"Horario ampliado - Comedor";"METRO: Las Suertes, Valdecarros BUS: 145";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4c0999a414b7210VgnVCM2000000c205a0aRCRD";"JOSE ANTONIO REBOLLEDO Y PALMA";"CALLE";"V";"18";"";"";"";"";"MADRID";"MADRID";"28051";"CASCO H.VALLECAS";"VILLA DE VALLECAS";"449997";"4468556";"40.36607876608522";"-3.588947072838845";"914 944 330";"";"eilarevoltosa@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
